artistName,trackName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,genres
Nick Cave & The Bad Seeds,People Ain't No Good - 2011 Remastered Version,2716,0,0,533,1044,0,0,0,0,0,0,0,None
Nicki Minaj,FTCU,0,0,0,0,0,0,0,0,0,0,0,142144,None
Nicki Minaj,High School,0,0,0,0,220092,49983,0,0,1130,0,0,0,hip pop
Nicki Minaj,Your Love,0,0,0,0,0,0,0,0,10624,0,0,0,None
Nico Morano,Believe,182976,0,185746,0,183613,0,9066,0,0,0,0,0,belgian edm
Nihaband,Bir olum var,0,0,191,0,0,0,0,0,0,0,0,0,None
Nil Karaibrahimgil,Bu Mudur,905,0,0,210450,0,0,0,0,0,0,0,0,None
Nil Karaibrahimgil,Burasi Istanbul,0,0,0,194811,0,0,0,0,0,0,0,0,None
Nil Karaibrahimgil,Hadi Insallah,0,0,0,368437,0,0,0,0,0,0,0,0,None
Nil Karaibrahimgil,Hakkinda Her Seyi Duymak Istiyorum (Sekerli Versiyon),1300,0,440258,885076,75241,0,33962,0,0,0,0,1393,None
Nil Karaibrahimgil,He-Man,0,0,1194,0,0,0,0,0,0,0,0,0,None
Nil Karaibrahimgil,Pirlanta,0,0,0,0,0,0,0,0,0,0,0,222800,None
Nil Karaibrahimgil,Ruzgar,0,143197,0,166588,0,0,0,0,0,0,0,0,None
Nil Karaibrahimgil,Seviyorum Sevmiyorum,0,0,264943,895499,115953,0,0,0,0,0,367900,0,None
Nil Karaibrahimgil,Istanbuldayim,0,0,0,203727,203728,0,0,0,0,0,0,0,None
Nilipek.,Beraber,0,0,0,0,0,0,0,0,0,0,0,0,None
Nilipek.,Bir Gun Beni Arzularsan Gel,0,719,0,0,0,0,0,0,0,0,0,0,None
Nilipek.,Gozleri Aska Gulen,0,0,0,0,0,0,0,0,0,0,0,0,None
Nilipek.,Havada Bir Hinlik Var,0,7569,0,394,0,0,0,0,0,0,0,0,None
Nilufer,Ask Kitabi,0,0,41928,0,0,0,0,0,0,0,0,0,None
Nilufer,Dunya Donuyor,0,0,0,214949,0,0,0,0,0,0,0,0,None
Nilufer,Selam Soyle,0,0,0,1557,0,0,0,0,0,0,0,0,None
Nilufer,Son Arzum,0,0,59968,895,0,2763,0,0,0,0,0,0,None
Nina Simone,Feeling Good,0,0,0,0,0,0,0,0,0,0,0,8450,None
Nina Simone,I Put A Spell On You,0,0,0,853,4666,155026,155026,0,0,0,155943,33791,jazz blues
Nine Inch Nails,Hurt,1898,0,0,0,6733,0,0,0,0,0,0,374440,alternative metal
Nirvana,About A Girl,0,0,0,0,0,0,0,0,0,0,27220,0,None
Nirvana,Come As You Are - Remastered,0,0,0,1760,1972,0,0,0,0,0,0,0,grunge
Nirvana,Dumb,151893,0,0,0,0,0,0,0,0,0,0,0,None
Nirvana,Heart-Shaped Box,0,0,264292,0,0,0,0,0,0,0,0,0,None
